=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [det6] gen 600: val_logprob=-0.1918 val_acc=0.9707
  [det6] gen 800: val_logprob=-0.1865 val_acc=0.9734
  [det6] gen 1000: val_logprob=-0.1382 val_acc=0.9827
  [det6] gen 1200: val_logprob=-0.1244 val_acc=0.9871
  [det6] gen 1400: val_logprob=-0.1241 val_acc=0.9863
  [det6] gen 1600: val_logprob=-0.1076 val_acc=0.9892
  [det6] gen 1800: val_logprob=-0.1103 val_acc=0.9883
  [det6] gen 2000: val_logprob=-0.1219 val_acc=0.9902
  [det6] gen 2200: val_logprob=-0.1222 val_acc=0.9910
  [det6] gen 2400: val_logprob=-0.1150 val_acc=0.9914
  [det6] gen 2600: val_logprob=-0.1096 val_acc=0.9907
  [det6] gen 2800: val_logprob=-0.1003 val_acc=0.9891
  [det6] gen 3000: val_logprob=-0.1057 val_acc=0.9876
  [det6] gen 3200: val_logprob=-0.0997 val_acc=0.9884
  [det6] gen 3400: val_logprob=-0.1169 val_acc=0.9851
  [det6] gen 3600: val_logprob=-0.0813 val_acc=0.9907
  [det6] gen 3800: val_logprob=-0.0673 val_acc=0.9918
  [det6] gen 4000: val_logprob=-0.0593 val_acc=0.9939
  [det6] gen 4200: val_logprob=-0.0697 val_acc=0.9916
  [det6] gen 4400: val_logprob=-0.0710 val_acc=0.9900
  [det6] gen 4600: val_logprob=-0.0648 val_acc=0.9921
  [det6] gen 4800: val_logprob=-0.0708 val_acc=0.9917
  [det6] gen 5000: val_logprob=-0.0629 val_acc=0.9919
[detector 6] done: balanced val_acc=0.9939
  [det7] gen 1: val_logprob=-1.0711 val_acc=0.7504
  [det7] gen 200: val_logprob=-0.4594 val_acc=0.9238
  [det7] gen 400: val_logprob=-0.3103 val_acc=0.9516
  [det7] gen 600: val_logprob=-0.1955 val_acc=0.9700
  [det7] gen 800: val_logprob=-0.1554 val_acc=0.9775
  [det7] gen 1000: val_logprob=-0.1568 val_acc=0.9816
  [det7] gen 1200: val_logprob=-0.1758 val_acc=0.9794
