=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer: 677 fixed dims (zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.8893
  [det4] gen 3600: val_logprob=-0.2056 val_acc=0.9821
  [det4] gen 3800: val_logprob=-0.2073 val_acc=0.9796
  [det4] gen 4000: val_logprob=-0.2275 val_acc=0.9771
  [det4] gen 4200: val_logprob=-0.2097 val_acc=0.9809
  [det4] gen 4400: val_logprob=-0.1957 val_acc=0.9796
  [det4] gen 4600: val_logprob=-0.1898 val_acc=0.9775
  [det4] gen 4800: val_logprob=-0.2081 val_acc=0.9774
  [det4] gen 5000: val_logprob=-0.2109 val_acc=0.9781
[detector 4] done: balanced val_acc=0.9771
  [det5] gen 1: val_logprob=-1.1960 val_acc=0.6865
  [det5] gen 200: val_logprob=-0.7040 val_acc=0.8788
  [det5] gen 400: val_logprob=-0.5056 val_acc=0.9178
  [det5] gen 600: val_logprob=-0.4365 val_acc=0.9370
  [det5] gen 800: val_logprob=-0.4033 val_acc=0.9409
  [det5] gen 1000: val_logprob=-0.3619 val_acc=0.9501
  [det5] gen 1200: val_logprob=-0.2961 val_acc=0.9568
  [det5] gen 1400: val_logprob=-0.3075 val_acc=0.9587
  [det5] gen 1600: val_logprob=-0.3077 val_acc=0.9588
  [det5] gen 1800: val_logprob=-0.3041 val_acc=0.9656
  [det5] gen 2000: val_logprob=-0.2932 val_acc=0.9666
  [det5] gen 2200: val_logprob=-0.3146 val_acc=0.9633
  [det5] gen 2400: val_logprob=-0.3551 val_acc=0.9654
  [det5] gen 2600: val_logprob=-0.3653 val_acc=0.9645
  [det5] gen 2800: val_logprob=-0.3421 val_acc=0.9687
  [det5] gen 3000: val_logprob=-0.3383 val_acc=0.9681
  [det5] gen 3200: val_logprob=-0.3680 val_acc=0.9653
  [det5] gen 3400: val_logprob=-0.3725 val_acc=0.9703
  [det5] gen 3600: val_logprob=-0.3580 val_acc=0.9661
  [det5] gen 3800: val_logprob=-0.3027 val_acc=0.9679
  [det5] gen 4000: val_logprob=-0.3163 val_acc=0.9683
  [det5] gen 4200: val_logprob=-0.3149 val_acc=0.9688
